wiI7pd,bulan_tahun,label_nbc_fasttext
"Asik, asyik buat nongkrong. Direkomendasikan kalau cuaca sedang panas dan matahari sedang menyegarkan untuk mandi, tak kalah menariknya naik kereta dengan bebek yang sejuk juga menyenangkan.",January 2025,positif
"Destinasi wisata murah meriah...
1. Parkir Mobil 10.000 sepeda motor 3.000
2. Ticket 5.000 …",December 2024,positif
"Setelah dipegang sendiri oleh Desa Putukrejo dan memajukan wisatanya, dari info yang saya dapat dan cek sendiri tempatnya banyak wahana baru selain ban² an, ada juga kereta melayang yg ada relnya, selain itu ada perahu gowes berupa bebek …",December 2024,positif
Asri,December 2024,netral
"Bagus sekali, airnya jernih kelihatan cantik",December 2024,positif
Sangat memuaskan,December 2024,positif
"Kebersihan masih kurang, sampah berserakan dimana2, terutama di dlm air, kurang nya penyediaan tempat sampah",December 2024,negatif
"Tempat rekreasi yang merakyat, selain harga tiket yang terjangkau harga makanan juga terjangkau,petugas nya juga fast respon",December 2024,positif
Mantap dah bagus,December 2024,positif
Pas akhir pekan rame,December 2024,netral
"sangat ramah, murah rekomendasi",December 2024,positif
Jelek bgt gaada tempat duduk gabisa duduk dimana2,December 2024,negatif
"Bagus, sejuk dan nyaman untuk keluarga....",December 2024,positif
"Tempat cukup nyaman, bisa berenang , ada gazebu untuk istirahat tapi bergantian dengan pengunjung lain",December 2024,positif
oke sip yes 👍 …,December 2024,netral
"Seru, sayang pas kesitu kurang prepare buat renang, jadi ya... cuma jalan jalan saja...",November 2024,positif
"Kereta sawahnya mantab, tp di kolam renang utamanya ada yang dalam dan sepertinya gak ada team penyelamatnya...",November 2024,positif
Agak sedikit kotor,November 2024,negatif
Sumber air alami,November 2024,positif
Tempatnya bagus dan asri.......rekomendasi untuk wisata keluarga,November 2024,positif
"View dan suasana alamnya indah airnya jernih dan segar, tapi sayangnya ingin menikmati suasana alam dengan ketenangan dan gemericik air kok malah ada sound horegnya yg memekakkan telinga dan gak bisa nyaman untuk menikmati suasana alamnya karena sangat berisik",November 2024,positif
"jauh"" kesana nggak bisa ngapa"" in karna ada kegiatan didalam tempat wisata",November 2024,positif
"weekend rame, htm murah, tapi kamar mandinya licin hati-hati yaa",November 2024,netral
"Bagus, murah",November 2024,positif
"Tempate bagus, air e bersih, jernih,seger, real sumber alam⭐5🤩 …",November 2024,positif
"Ga rugi liburan ke sumber sira sama keluarga....
Hati senang ..isi dompet tenang🥰 …",November 2024,positif
"recommended banget buat liburan bareng keluarga, tempatnya masih alami, airnya jernih dan udaranya juga segar sekali
buruan deh kesini dijamin gak nyesel, tiketnya juga murah bgt 5k per orang, wahana juga ada banyak kayak kereta sawah, perahu bebek, flying fox dan wahana anak juga ada loh😉 …",November 2024,positif
"tempat wisata yg murah, airnya segar, banyak wahananya 👍 …",November 2024,positif
Sumber sira yg sangat alami dan segar 😍 intinya pengen tiap sore mandi disini deh hehe …,November 2024,positif
Murah & Indah,November 2024,positif
"kamar mandinya tolong di bersihkan, jijik anjir... banyak Bekas kencing di tembok sama lantainya ... bau pesing juga",November 2024,netral
"Seru
Cocok buat rekreasi keluarga
Lengkap harga terjangkau",November 2024,positif
Banyak oknum (-),November 2024,netral
"Hari ini..Minggu 13 Oktober 2024..Saya sekeluarga bermain di sumber Sira Putuk rejo
Ada kolam renang anak, kolam renang dewasa,sumber wadon,kereta …",November 2024,positif
"Tempat nya sejuk , airnya bening dan jernih, htm terjangkau, makanan cukup terjangkau.",November 2024,positif
Seger,November 2024,positif
"Tempat sejuk, air bersih, enak buat berenang, bebas kaporit",November 2024,positif
"ga terlalu ramee, enak bgt asrii bersih bening bgt airnya masyaallah 🔥 segeerr …",November 2024,positif
Sumber air alami sangat bening,October 2024,positif
"Bagus dan worth it untuk tempatnya, cuma agak shik shak shok waktu aku berenang di pojok yang ada tangga turunan itu tiba” ada ibu” penjual setempat yang buang air kecil di bagian tangga padahal ada aku sama orang” disitu, kek sengaja bgt, auto ga mood lagi buat renang :)",October 2024,positif
"Tiket masuk 5000/orang. Parkir motor 3000.
Selain sumbernya, sekarang lebih banyak wahananya. Ada ATV, perahu bebek, kereta sawah, odong-odong, dan kolam renang anak.",October 2024,positif
Buruk,October 2024,negatif
"Lokasi mudah di jangkau, lokasi bersih, tersedia tiloilet dan ruang ganti, makanan masih murah di sana",October 2024,positif
"Cocok banget buat liburan keluarga, airnya juga langsung dari sumber. Seger banget pokoknya, ada banyak yg jualan, ada wahananya juga super murah bahkan tiketnya juga terjangkau.",October 2024,positif
"Disarankan kesananya pagian, sekitar jam 7an. Air nya masih sangat jernih dan belum terlalu ramai.
Karena wahana nya semakin banyak dan memang wisata yg harganya masih terjangkau. Terimakasih",October 2024,positif
Air jernih seger htm murah .makanan murah. Sejuk suasana asri,October 2024,positif
Seru,October 2024,positif
Tempat yg indah,October 2024,positif
Untuk yg bawa mobil harus siap jalan kaki jauh,October 2024,positif
"For experience it's okey. Last visit waktu weekend, jadi memang ramai. Kemungkinan kalo weekday gak terlalu desak2an.",October 2024,positif
"+ htm murah pol. Cuma 5rb/orang.
+ airnya bersih dan segar
+ harga makanan di warungnya masih reasonable. …",October 2024,positif
yaaa not bad lah,October 2024,positif
2 perbedaan foto pas rame sama pas sepi. Pas rame butek pas sepi jernih banget kayak akuarium” gitu. Minus pas datang ke tempat sumber langsung kecium bau tretes 😓 & sampahnya ya ampun tolong deh pihak pengelola sama pengunjung di kasih …,October 2024,positif
ada bau tai kering disekitar area wisata. padahal dulu gak ada bau seperti itu. ✌️✌️,October 2024,negatif
"Bau tai, makan Indomie campur bau tai yang menyengat",October 2024,netral
Mantapp,October 2024,positif
Pernah kesana pas masih belum ada orang Jualan sama sekali,September 2024,netral
Sumbernya oke air jernih seperti kaca.,September 2024,positif
"Makin bagus tertata, bersih, harga tiket merakyat. Tingkatkan terus agar wisatawan semakin banyak berdatangan.",September 2024,positif
Tempat wisata yang masih alami.,September 2024,positif
"Wisata murah meriah tanpa banyak aturan, cuma pulangnya aja jalannya agak nanjak",September 2024,negatif
"akses parkir lebih mudah dan luas, dateng weekday pagi akan lebih sepi dan lebih bagus jika sepi. ada fasum dan beberapa wahana sebagai tambahan.",September 2024,positif
"Tempat bagus, lumayan u/ wisata didesa. Cocok u/ area bersenang"" Dan bersantai Dg keluarga terutama dg anak"".",September 2024,positif
banyak aquatic plant! bagus untuk fotografi!! tiket murah bgt 5k..tp weekend rame bgt😭 …,September 2024,netral
"Tempat yg nyaman banyak wahana mainan nya , cocok untuk Acara wisata keluarga",September 2024,positif
"Ternyata tempat wisata ini adalah tempat dimana saya dulu ketika berkunjung ke rumah saudara di desa ini sering mandi bersama teman teman kecil dulu,tapi waktu itu belum mendapat perhatian dan penanganan khusus dan serius …",August 2024,negatif
"Fasilitas sumber sira
1. Ban kecil sampai besar
2. Kereta sawah, perahu bebek, ATV …",August 2024,netral
"Parkir : 2-3k
Tiket masuk : 5k
Sewa ban : 5k …",August 2024,netral
Kereta sawahnya 🥰 …,August 2024,netral
"Ini mata airnya jernih, mandi sama renang disini buat badan segar dan pikiran fresh, saran saya sih pagi atau siang agak sore biar nambah vibes pemandian sumber sira nya",August 2024,positif
"Tempat yang masih asri, dan masih proses pengembangan wahana-wahana yang bisa menunjang rekreasi di dalamnya, harga tiket masuknya juga terjangkau",August 2024,positif
"HTM 5rb/orang belum termasuk parkir.
Airnya bersih dan jernih
Ada juga kereta sawahnya. …",August 2024,positif
Harga sewa kost ini sangat terjangkau untuk fasilitas yang diberikan. Kebersihan selalu terjaga dengan baik,August 2024,positif
"Salah satu wisata alam sumber air yg berada di kab Malang tepatnya daerah putuk rejo,,HTM murah, tempat sejuk, toilet ada, makanan sangat ramah di kantong",August 2024,positif
"tempat loket cuma 1 itu pun penuh
toilet antri",August 2024,netral
Senang,August 2024,positif
"wisata murmer dan worthit banget buat renang bareng teman pacar suami dan keluarga apalagi sama anak krn ada kolam renang khusus anak2 dan naik kereta2 di atas sawahh makin banyakk spot foto2 , yg ksini berdua aja jangan khawatir ada tempat …",August 2024,positif
"Tempat lumayan bagus,fasilitas lumayan lengkap ada,akses mudah dijangkau tiket masuk 5rb parkir mobil 10rb.",August 2024,positif
"Tempat nya Sejuk,bersih banyak wahana yang bisa di nikmati dengan harga terjangkau,,",August 2024,positif
Naik kereta tiketnya murah banget.perlu tambahan kolam renang,August 2024,netral
"Seru bagus mkanan murah , sdkit ctatan kmar mandi hrs ditambah lg n tmpt wudhu di msholla kran nya cumn 1😁 …",August 2024,positif
"Tempat bagus, jalan enak.., kamar mandi dan ganti seharusnya sudah masuk fasilitas ternyata harus bayar lagi",August 2024,positif
Petugas nya. Gak ramah,August 2024,negatif
Lak runu bar Subuh dijamin wapik rek,August 2024,positif
"Banyak jalan menuju ketempat ini,jalan kampung tapi mobil bisa laju.
Kalo maen bareng keluarga bawa bontotan dah yg jual makan gak ada, klo cemilan byk,harga masih standar👌 …",August 2024,positif
Enak buat renang,August 2024,positif
"Airnya jernih, segar, bila keaadaan ramai, kamar mandi kemungkinan besar antri",July 2024,positif
Fasitas permainan ok dg pengunjuk yg super ful kamar mandi sangat amat kurang memadai,July 2024,netral
"Udara segar, banyak wahana buat anak2 makanana murah² dan bervariasi",July 2024,positif
Seruuu,July 2024,positif
"Bawa kereta wisata tetap bayar parkir, (sopir)seharusnya gratis dan malah di beri uang rokok dan masuk gratis, ini gak malah bayar semuanya ,, kan kita ya memperramai wisata sumber Sirah nya kan gitu kan juga bawa penumpang banyak",July 2024,positif
"Tempatnya nyaman untuk rekreasi keluarga. Ada kolam renang untuk balita, anak, dewasa. Bisa snorkling ala ala juga. Ada banyak wahana seperti flying fox, kereta sawah dan bebek air. Tiket masuk 5rb, parkir mobil 10rb, wahana kisaran 10rb-20rb. Wort it!",July 2024,positif
enak sejuk nyaman,July 2024,positif
Lumayan bagus seh..cuma kok kalo pas mau ganti baju di kamar ganti bayar lagi ya,July 2024,positif
Bagus cuman fasilitas toilet kurang antri lama banget😅😅😔 …,July 2024,positif
"Lokasi bagus, luas, dan banyak wahana. Harga terjangkau banget",July 2024,positif
"Wisata nuansa persawahan tp sejuk dan rindang dg sumber air yg bersih bening tanpa tawas dan kaporit,sangat cocok buat kelg",July 2024,positif
seru,July 2024,positif
Pemandian sumber yang luas👍🏻 …,July 2024,netral
"Fasilitas dan pelayanan mungkin perlu ditingkatkan dan ditambah lagi,keamanan tempat parkir dan lahan perlu dibenahi atau dii paving
Semoga tempat wisata ini lebih berkembang lagi",July 2024,positif
"Padahal banyak “bayar”nya, tapi tempat wisatanya tidak terawat.
- area gazebo banyak sampah meski ada tempat sampah
- area toilet kotor & bahkan airnya mampet pol !! seperti tidak pernah …",July 2024,netral
"Murah, tapi tidak dikelola dengan baik jd terkesan kumuh dan kotor. Kamar mandi cuma sedikit dan ya itu td kotor. Jauh dr ekspektasi. Satu2nya yg bikin anak saya happy cuma kereta sawahnya. Semoga ada tindak lanjut dan segera diperbaiki",July 2024,negatif
"Pengalaman yg luar biasa.
Ternyata ada tempat seAmazing ini di kabupaten Malang.
Bisa snorkling gais di Malang 😃 …",July 2024,netral
Adem sejuk cuman kurang luas kr pengunjungnya terlalu byk jd kurang nyaman ..🥰 …,July 2024,negatif
"Bagus, bersih dan sejuk",July 2024,positif
Seger,July 2024,positif
Mantul,July 2024,netral
"Wcnya jadi 1 berpusat, mushola kecil dan tempat wudhu tidak ada penutup buat perempuan",July 2024,negatif
Oke,June 2024,netral
Ramai sekarang...,June 2024,netral
"Tempatnya masih alami banget dan airnya juga the real air sumber asli, asik lah pokoknya disana hawanya sejuk",June 2024,positif
"Lumayan, cuma kalau pas hari minggu kamar mandinya antrinya luama banget sampek mau ngompol rasanya nahan kencing, tapi ya lumayan lainnya",June 2024,positif
Suasana masih asri,June 2024,positif
Kolam renang alami,June 2024,positif
"kamar mandi banyak, kolam cukup luas, tiket masuk 10rb",June 2024,netral
"tiket murah warung makan murah, rokok murah. recomended",June 2024,positif
"Airnya untuk dialirkan kotor kecuali dikolam renangnya bersih, untuk permainan ATV masih tanah murni klo kena air becak perlu perbaikan dan perawatan, untuk kamar mandi hanya ganti baju bayar 2000, mandi 2000, kencong 2000 selalu berbayar",June 2024,negatif
Mantapp,June 2024,positif
Tempat rekreasi yang sangat seruuu dan cocok buat anak²...tiket masuk dan wahana yg sangat cocok dikantong...pokoknya mantapppp,June 2024,positif
"Kolam yg asli bening banget seger yg anak² udah full, kereta juga antri poll to seru² ngeri wkwkwk tiket masuk 5rb, parkir spd 3rb naik kereta 10rb bebek 20rb kamar mandi mulai dari 2rb, pop mi mulai dr 5rb, biasannya kalau d tempat lain …",June 2024,positif
"Pemandian alam paling estetik, karena masih sangat alami, airnya segar jernih, ada tumbuhan air didalamnya, menjadi rumah ikan, banyak ikannya, ada wahana2 lain seperti ATV, kapal pancal, kereta sawah, kuliner, kolam anak 👍 …",June 2024,positif
Makanan enak pelayanan baik suasana enak,June 2024,positif
"Seru , murah dan segar airnya jernih",June 2024,positif
tempatnya enak bangetttt ☆,June 2024,positif
Overall bagus sihhh tapi untuk kamar mandi(WC) tolong ditambah lagi&karcis jangan terlalu mahal masak anak kecil umur 4tahun dikenakan biaya juga kecuali umur 6-7 tahun,June 2024,positif
Tempat refreshing dan mandi air sumber . Ada wahana kereta sawah . Bebek engkol . ATV heheheh,June 2024,netral
Kurang asri but overall my customer happy,June 2024,positif
"Tambah bagus...akses mudah, harga jajanan juga ga trllu mahal...cuma air kolamnya kotor kena sampah dr pohon dsamping kolam",June 2024,positif
"Seger Asri, kesana harus bawa tikar yak, soalnya sedikit tempat duduknya, kalo nggk bawa bisa beli di area sekitar",June 2024,positif
"Liburan murah meriah tak jauh dari malang kota.
Tidak terlalu ramai cocok buat healing, air jernih, udara sejuk, tempat bersih.
Tempat beristirahat tersedia gratis,Toilet & mushola bersih. …",June 2024,positif
"Wisata alam yang indah
HTM 5000 parkir 3000 tiket kereta 10.000",June 2024,positif
Parkir luas kolam renang berbagai ukuran untuk balita juga ada .,June 2024,netral
"kesini tanggal 11 mei 2024, akses jalan ke tempat ini mudah bisa naik motor atau mobil, kebetulan saya naik motor dengan tiket parkir 3 ribu, parkiran luas. Masuk dengan karcis 5rb per orang, untuk menuju kawasan jalan kaki sebentar. …",June 2024,positif
"Cakep banget, airnya jernih tapi sayang banget mulai banyak sampah plastiknyaaa",June 2024,negatif
"Tiket emang murah 5000/org...kereta 10.000 bebek 15.000
tapi sayang pengolahannya dibiarkan begitu saja...tdk terawat..banyak sampah.banyak rumput liar..kotor pokoknya... …",June 2024,negatif
Berapa harga tiket masuknya?,June 2024,netral
"Tiket masuk murah meriah,  tempat masih asri, bersih..",May 2024,positif
"Sumber mata air yang sangat jernih cukup recommended buat wisata air,ada juga wahana kereta sawah,perahu bebek
Cukup memuaskan dengan harga tiket 5000",May 2024,positif
Seger,May 2024,positif
Bagus,May 2024,positif
Pelayanan yang ramah,May 2024,netral
Rameeeeeeee guyss,May 2024,netral
"Saya sangat bersenang-senang di sini. Tempat yang menakjubkan. Itu adalah danau yang dangkal, dengan air yang jernih dan dingin. …",May 2024,positif
Tempat rekreasi murah meriah.. Suasana asli pedesaan...,May 2024,positif
Tambah bnyak arena bermainnya dan sngat ramai wktu lbur lebran....,May 2024,positif
"Parkir mobil 10.000, parkiran nya luasss. Tiket masuk 5.000/orang. Jalan menuju sumbernya turun tapi gak terlalu jauh, dan jalannya aman gak licin. Ada kolam renang anak, dangkal. Aman buat anak2. Untuk sumbernya bagi saya yang pendek, …",May 2024,positif
"Sumber air bersih, jernih dan melimpah, suasananya sejuk dan indah. Cocok untuk tujuan wisata di akhir pekan bersama keluarga. Menghadirkan nuansa alami nan asri. Mantap deh pokoknya 👍 …",May 2024,positif
Rekreasi di daerah cukup lumayan.. murah meriah.. tiket cuman 5 ribu... tidak d sarankan datang pas musim hujan...,May 2024,negatif
"Ramai sekalai sampai gk ada tempat buat duduk,jadi banyak yg bwa tikar sendiri jadinya,mungkin gazebo2 dan tempat berteduh perlu ditambah lagi sama satu lg yg paling penting dikasih spot foto dong yg bagus agar tidak yg berenang saja yg bisa foto tapi yg ibu2nya jg bisa berfoto2 juga",May 2024,positif
"Destinasi wisata desa, tiket cuma 5 rb/orang,parkir mobil 10 rb, ada sewa ban, ada, kantin makan, ada mushola, kl kesini usahakan dtng pagi biar TDK terlalu rame, atau hindari hari libur/tanggal merah, tempat asri, kebersihan mungkin bisa ditingkatkan lagi",May 2024,positif
Rekreasi konsep alam,May 2024,netral
"Bagus! Review lebih lengkap di youtube hehe
https://youtu.be/i1dte2U0BT4?si=kDh2b2vCLEtu7tda",May 2024,positif
Masih terjaga keaslian alamnya seperti dulu,May 2024,positif
Nyaman dan sejuk dan air nya jernih,April 2024,positif
"tempatnya enak sejuk, masuknya murah.",April 2024,positif
"kesini ke 3x nya (2024) perawatan fasilitas dan kebersihannya makin bagus, jalan ke lokasi juga gak sulit lagi.
Ada bea parkir (🏍️3k, 🚙10k) dan tiket masuk (3k) sendiri-sendiri. …",April 2024,negatif
"tulisannya tutup jam 5 tapi baru jam 3 sore toilet udah dikunci dan gaada toilet lain, untung ada bapak2 baik yg nawarin buat bukain toiletnya",April 2024,positif
"Tempatnya bagus. Banyak ikan. Cocok untuk rekreasi. Hari kerja tiket cuma 8 ribu.  Ada wahana lain seperti kereta sawak 10 ribu, dan perahu bebek 20 ribu. Dateng pas hari kerja serasa kolam punya pribadi.",April 2024,positif
"Tempat nya lumayan bagus,dan sejuk",April 2024,positif
"Tiket masuknya standart lah..🤭😅
Semoga fasilitas dan wahananya semakin  baik ❤️ …",April 2024,positif
"Tempat ini ramah anak dan nyaman untuk piknik keluarga. Seat ini sudah banyak sekali wahananya dari pada beberapa tahun sebelumnya. Dikelola oleh Bumdes, biaya masuk sini juga sangat terjangkau tidak terlalu mahal. …",April 2024,positif
"Airnya jernih sekali, suasananya asri",April 2024,positif
Bersih,April 2024,positif
"Tempatnya sejuk dan asri, walaupun agak jauh dari jalan utama.",April 2024,positif
"tempat yang masih asri sekali, dengan sumber air yang bersih, tempat seperti ini perlu terus di lestarikan dengan cara tidak menebang pohon yang ada di sekitarnya, dan menjaga penghijauan daerah sekitar, serta kebersihan harus selalu terjaga",April 2024,positif
"Pelayanan sangat ramah, harga murah dan barang sangat terjamin dan selalu terbaik, sangat suka berbelanja disini",March 2024,positif
"Wisata yang masih terjaga kelestariannya, untuk harga tiket masuk 5k per orang dan parkir 3k untuk kendaraan roda dua, perjalanan tidak terlalu jauh hanya 30menit dari tengah kota.. tersedia kolam renang untuk anak2 ada juga wahana flying …",March 2024,netral
Lingkungan yg asri dengan harga tiket murah meriah,March 2024,netral
"Tiket murah meriah.
Cocok untuk berlibur sekeluarga",March 2024,netral
Destinasi Wisata yang Murah Meriah dengan Kolam Renang yang Alami karena dari Sumber Mata Air langsung,March 2024,positif
"Airnya bening & segar
Terlihat air yg keluar dari sumbernya",March 2024,positif
Tempat beli telur fresh,March 2024,positif
Seger buat renang,March 2024,positif
"Tempat wisata yg murah dan cukup nyaman,dan juga harga makanan yg murah tidak seperti harga makanan di tempat wisata pada umumya",March 2024,positif
Wisata sungai dengan alam dan udara sejuk,March 2024,netral
"Tempat wisata yg ramah lingkungan dan murah ... Airnya jernih karena berasal lgsg dari sumber mata air ,jdi free kaporit cuma berasa lebih dingin aja hehehe..untuk akses jalannya jga mudah dari malkot ke arah selatan pabrik gula krebet/ …",March 2024,positif
Murmer pokok e gas pol,March 2024,netral
Kamar mandi kurang banyak.. please tambahin.. saking antriinya anakku sampe ngompol 2x..,March 2024,negatif
"Penghilang penat bersama keluarga, parkir motor 3k, tiket masuk 5k,naik kereta sawah 10k.",March 2024,negatif
"Tiket murah meriah
Ada kolam anak2
Cuma kolam dewasa sepertinya kurang perawatan, agak kotor",March 2024,negatif
Bagus dan murah,March 2024,positif
Bersama keluarga lebih mantap,March 2024,positif
"Datang ke sini pagi pagi banget jadi masih sepi terus sejuk. Waktu itu datang pertama kali jadi masih belom tahu kalo ada dua loket masuk, loket yang satunya masih ditutup jadi harus ke loket satunya yang posisinya ujung ke ujung. …",March 2024,netral
"Masyaa Allah seneng bgt akhirnya bisa main kesini... airnya jernih, area bersih, tempat sampah dimana², parkiran jg luas, tiket murah bgt cm 5K/org, makanan juga variatif. Terawat bgt lah walaupun di Kabupaten. Next bakalan berangkat lebih pagi kalo kesini...",March 2024,positif
"sayang brngktnya siang jd e ga bs ambil gambar bagus

klu pagi² enak suasananya …",March 2024,negatif
Asik. Murah. Berenang dengan tanpa kaporit memang juara,March 2024,positif
Airnya jernih dan seger..,March 2024,positif
"Gak asyik,masak nyewa ban belum selesai udah di ambill,, sma tukang parkirnya tidak ramahh sekaliii",March 2024,negatif
"Tempat yang segar dan sejuk
Menarik juga karena ada kereta sawah
Kolam renang khusus anak …",March 2024,positif
"Htm murah meriah 5k, tiket naik kereta 10k 2x putaran 😅 parkir motor 3k, tempatnya juga masih alami, tempat juga luas, cocok untuk berenang 🏊🏻 …",March 2024,positif
Tempatnya sangat bagus sekali,March 2024,positif
Airnya jernih & banyak wahana bermain buat anak²,March 2024,positif
Tempatnya asik dan airnya sangat jernih karna asli langsung dari sumber mata airnya dan yang pasti bebas dari bahan kimia,February 2024,positif
"Tepatnya bagus.
Cocok untuk liburan keluarga.
Saran saja untuk loker penitipan ditambah lagi.",February 2024,positif
"Sejuk, segar, bisa melepas penat. Ada jajanan kuliner: nasi jagung, tahu telor nasi, pop mie, dsb. Ada juga tempat khusus anak-anak. Ada kereta mini, bisa keliling sawah. Ada juga kebun binatang mini. …",February 2024,positif
"Suka banget, seger.
Tiket masuk 5000/orang.
Sewa ban ada yang besar dan kecil. Kebetulan kesini sewa yg besar 7000/ban. …",February 2024,positif
Keren,February 2024,netral
"Citimewa,,, istimiwir,,, murah meriah dan mantap 👍👍 …",February 2024,positif
Solusi berenang murah,February 2024,positif
Mantap👍 …,February 2024,positif
"Tempatnya bagus dan luas, airnya jernih, cuman batuan di dasar airnya ada yang tajam jadi perlu hati2 biar ga sampai luka kayak saya",February 2024,positif
Sumber airnya jernih. Terdapat kolam renang juga jika tidak ingin berenang sumber air. Ada flying fox tetapi saya tidak tahu apakah sudah dibuka atau belom. Wajib naik kereta sawah. Menarik,February 2024,positif
Seru sekali,February 2024,positif
"Salah satu wisata low budget di kabupaten Malang .
HTM hanya 5rb rupiah ,
Parkir 2rb rupiah, …",February 2024,negatif
Recommended dan rasanya mantap. Harga juga terjangkau,February 2024,positif
"tempatnya nyaman untuk liburan keluarga apalagi jika mengajak anak kecil
ada kolam renang khusus anak
banyak permainan untuk anak seperti kereta, atv, bebek kayuh dan odong² …",February 2024,positif
Airnya jernih,February 2024,positif
"Saya baru pertama kali ke sini, suasananya cukup alami. Untuk yang tidak bisa berenang di sarankan mandi di kolam renang anak anak saja",February 2024,positif
"Hari rabu datang kesana tidak sebegitu rame, enak tenang dan damai, air masih jernih, untuk tiket masuk cuma 13rb 2 orang 1 motor",February 2024,positif
"Oke buat yang pengen nyari suasana baru. Bisa liat persawahan, mandi di sungai yang jernih dan dingin. naik kereta bayar 10rb/orang 2x putaran, naik perahu Bebek 20rb se capeknya. Sayang banget fasilitas kamar bilas dan ganti cuma 1 ya …",February 2024,positif
Tempat yang bagus untuk menghabiskan waktu di hari libur,February 2024,positif
Mantap,February 2024,positif
Mantap banyak wahana dan tempatnya juga sangat recommended buat kumpul keluarga dan sejenak menghilangkan beban,February 2024,positif
"Sumpah, buat snorkeling bagussssss. Sudah dipetak petakan juga area yg g boleh d buat renang. Bagussss. Next warung makan sama gorengannya diperbanyak",February 2024,positif
lumayan nyaman,February 2024,positif
Lokasi strategis terjangkau view keren bagus,February 2024,positif
"Tempat sejuk dan asri.
Sayang tempat ganti bajunya kurang..hingga harus antri..",February 2024,positif
Tempatnya bagus banyak perubahan setelahbterakhir ke sini,February 2024,positif
Pemberdayaan masyarakat sekitar di sumber sirah efektif dan terlihat perubahan-perubahan positif untuk salah satu destinasi wisata di kab. Malang. Operator juga ramah dan profesional. Cuma mungkin saran untuk kolam renang anak kebersihan menurut saya perlu ditingkatkan. Overall Good Job pengelola Sumber Sirah,February 2024,positif
"Bagus tempatnya cocok buat sekedar main air, berenang, ataupun bersantai mengilangkan rasa jenuh. Harga tiket masuk 5k dan parkir 3k untuk motor",February 2024,positif
"Yg suka healing tempat alami ini rekom banget,, pas deket sawah2,

Cuman sayang mau jalan ke sumberny anya jalan menurun bgt,, apa balik naik nya bikin cavekk",February 2024,positif
Lumayanlah buat ngilangin stres pikiran 😅 …,February 2024,netral
Tempatnya bagus,February 2024,positif
Segarnya,February 2024,positif
"Datang di hari Jumat jam 8 pagi. Pas tidak terlalu ramai.
Tiket 5rb/ orang dan 2rb/ kendaraan motor. …",February 2024,positif
"Tiket murah, banyak wahana",February 2024,netral
Tempat nya sangat luas dan bersih,February 2024,positif
"Sumber alami yang segar, ada wahana baru seperti kereta sawah dll, cocok untuk liburan keluarga",February 2024,positif
Kolamnya kurang bersih,February 2024,positif
Airnya segeerrr bangett,February 2024,positif
