wiI7pd,d4r55,rsqaWe,bulan_tahun
"View dan suasana alamnya indah airnya jernih dan segar, tapi sayangnya ingin menikmati suasana alam dengan ketenangan dan gemericik air kok malah ada sound horegnya yg memekakkan telinga dan gak bisa nyaman untuk menikmati suasana alamnya karena sangat berisik",zaenal Muttaqien,3 bulan lalu,November 2024
"jauh"" kesana nggak bisa ngapa"" in karna ada kegiatan didalam tempat wisata",Lea Lae,3 bulan lalu,November 2024
"weekend rame, htm murah, tapi kamar mandinya licin hati-hati yaa",Clariza Novita Putri,3 bulan lalu,November 2024
"Bagus, murah",Dody Darma NV,3 bulan lalu,November 2024
"Tempate bagus, air e bersih, jernih,seger, real sumber alam⭐5🤩 …",kadapi klampes,3 bulan lalu,November 2024
"Ga rugi liburan ke sumber sira sama keluarga....
Hati senang ..isi dompet tenang🥰 …",kakazham,3 bulan lalu,November 2024
"recommended banget buat liburan bareng keluarga, tempatnya masih alami, airnya jernih dan udaranya juga segar sekali
buruan deh kesini dijamin gak nyesel, tiketnya juga murah bgt 5k per orang, wahana juga ada banyak kayak kereta sawah, perahu bebek, flying fox dan wahana anak juga ada loh😉 …",Neng Diraa,3 bulan lalu,November 2024
"tempat wisata yg murah, airnya segar, banyak wahananya 👍 …",Dewi Agustina,3 bulan lalu,November 2024
Sumber sira yg sangat alami dan segar 😍 intinya pengen tiap sore mandi disini deh hehe …,Zidan Hasbi,3 bulan lalu,November 2024
Murah & Indah,Raihan Angie,3 bulan lalu,November 2024
"kamar mandinya tolong di bersihkan, jijik anjir... banyak Bekas kencing di tembok sama lantainya ... bau pesing juga",Maulana Amirudin,3 bulan lalu,November 2024
"Seru
Cocok buat rekreasi keluarga
Lengkap harga terjangkau",Bisri Mukhamad shofa,3 bulan lalu,November 2024
Banyak oknum (-),Achmad Chris,3 bulan lalu,November 2024
"Hari ini..Minggu 13 Oktober 2024..Saya sekeluarga bermain di sumber Sira Putuk rejo
Ada kolam renang anak, kolam renang dewasa,sumber wadon,kereta …",kHullah Tin,3 bulan lalu,November 2024
"Tempat nya sejuk , airnya bening dan jernih, htm terjangkau, makanan cukup terjangkau.",Ricky Dwi Setyawan,3 bulan lalu,November 2024
Seger,fany oktavia,3 bulan lalu,November 2024
"Tempat sejuk, air bersih, enak buat berenang, bebas kaporit",agil mamduh,3 bulan lalu,November 2024
"ga terlalu ramee, enak bgt asrii bersih bening bgt airnya masyaallah 🔥 segeerr …",xxandailyvbs,3 bulan lalu,November 2024
Sumber air alami sangat bening,Aqiqah Malang,4 bulan lalu,October 2024
"Bagus dan worth it untuk tempatnya, cuma agak shik shak shok waktu aku berenang di pojok yang ada tangga turunan itu tiba” ada ibu” penjual setempat yang buang air kecil di bagian tangga padahal ada aku sama orang” disitu, kek sengaja bgt, auto ga mood lagi buat renang :)",Gaitsya Alif Azzahra,4 bulan lalu,October 2024
"Tiket masuk 5000/orang. Parkir motor 3000.
Selain sumbernya, sekarang lebih banyak wahananya. Ada ATV, perahu bebek, kereta sawah, odong-odong, dan kolam renang anak.",aminatun nafisah,4 bulan lalu,October 2024
Buruk,Nor Cahyo,4 bulan lalu,October 2024
"Lokasi mudah di jangkau, lokasi bersih, tersedia tiloilet dan ruang ganti, makanan masih murah di sana",yoyok ardianto,4 bulan lalu,October 2024
"Cocok banget buat liburan keluarga, airnya juga langsung dari sumber. Seger banget pokoknya, ada banyak yg jualan, ada wahananya juga super murah bahkan tiketnya juga terjangkau.",Nufa Redmik,4 bulan lalu,October 2024
"Disarankan kesananya pagian, sekitar jam 7an. Air nya masih sangat jernih dan belum terlalu ramai.
Karena wahana nya semakin banyak dan memang wisata yg harganya masih terjangkau. Terimakasih",Dewi Robik,4 bulan lalu,October 2024
Air jernih seger htm murah .makanan murah. Sejuk suasana asri,amriz zal,4 bulan lalu,October 2024
Seru,NOA Family Chanel,4 bulan lalu,October 2024
Tempat yg indah,Adi Irawan,4 bulan lalu,October 2024
Untuk yg bawa mobil harus siap jalan kaki jauh,dinaatr,4 bulan lalu,October 2024
"For experience it's okey. Last visit waktu weekend, jadi memang ramai. Kemungkinan kalo weekday gak terlalu desak2an.",Agung Nugroho,4 bulan lalu,October 2024
"+ htm murah pol. Cuma 5rb/orang.
+ airnya bersih dan segar
+ harga makanan di warungnya masih reasonable. …",Finda Prasetioningtias,4 bulan lalu,October 2024
yaaa not bad lah,Imellia Putri,4 bulan lalu,October 2024
2 perbedaan foto pas rame sama pas sepi. Pas rame butek pas sepi jernih banget kayak akuarium” gitu. Minus pas datang ke tempat sumber langsung kecium bau tretes 😓 & sampahnya ya ampun tolong deh pihak pengelola sama pengunjung di kasih …,Putri Melani,4 bulan lalu,October 2024
ada bau tai kering disekitar area wisata. padahal dulu gak ada bau seperti itu. ✌️✌️,danny achmad,4 bulan lalu,October 2024
"Bau tai, makan Indomie campur bau tai yang menyengat",Nadera Bethary,4 bulan lalu,October 2024
Mantapp,Viony Alfiyatu Zahroh,4 bulan lalu,October 2024
Pernah kesana pas masih belum ada orang Jualan sama sekali,Akmal Nomadalone,5 bulan lalu,September 2024
Sumbernya oke air jernih seperti kaca.,Sir coffee 57,5 bulan lalu,September 2024
"Makin bagus tertata, bersih, harga tiket merakyat. Tingkatkan terus agar wisatawan semakin banyak berdatangan.",Mas Nang,5 bulan lalu,September 2024
Tempat wisata yang masih alami.,antok cuplis,5 bulan lalu,September 2024
"Wisata murah meriah tanpa banyak aturan, cuma pulangnya aja jalannya agak nanjak",indah rifayanti,5 bulan lalu,September 2024
"akses parkir lebih mudah dan luas, dateng weekday pagi akan lebih sepi dan lebih bagus jika sepi. ada fasum dan beberapa wahana sebagai tambahan.",Nadhif Alwan,5 bulan lalu,September 2024
"Tempat bagus, lumayan u/ wisata didesa. Cocok u/ area bersenang"" Dan bersantai Dg keluarga terutama dg anak"".",Veddira Official,5 bulan lalu,September 2024
banyak aquatic plant! bagus untuk fotografi!! tiket murah bgt 5k..tp weekend rame bgt😭 …,APP,5 bulan lalu,September 2024
"Tempat yg nyaman banyak wahana mainan nya , cocok untuk Acara wisata keluarga",Aditya Putu,5 bulan lalu,September 2024
"Ternyata tempat wisata ini adalah tempat dimana saya dulu ketika berkunjung ke rumah saudara di desa ini sering mandi bersama teman teman kecil dulu,tapi waktu itu belum mendapat perhatian dan penanganan khusus dan serius …",Imam Mahmudi,6 bulan lalu,August 2024
"Fasilitas sumber sira
1. Ban kecil sampai besar
2. Kereta sawah, perahu bebek, ATV …",rahmi izzatur,6 bulan lalu,August 2024
"Parkir : 2-3k
Tiket masuk : 5k
Sewa ban : 5k …",Noor Indaryati Putri,6 bulan lalu,August 2024
Kereta sawahnya 🥰 …,Balqis Yuniar,6 bulan lalu,August 2024
"Ini mata airnya jernih, mandi sama renang disini buat badan segar dan pikiran fresh, saran saya sih pagi atau siang agak sore biar nambah vibes pemandian sumber sira nya",Muhammad Farhan,6 bulan lalu,August 2024
"Tempat yang masih asri, dan masih proses pengembangan wahana-wahana yang bisa menunjang rekreasi di dalamnya, harga tiket masuknya juga terjangkau",Muhammad Faqih Ardiansyah,6 bulan lalu,August 2024
"HTM 5rb/orang belum termasuk parkir.
Airnya bersih dan jernih
Ada juga kereta sawahnya. …",Mocha Soleh,6 bulan lalu,August 2024
Harga sewa kost ini sangat terjangkau untuk fasilitas yang diberikan. Kebersihan selalu terjaga dengan baik,RIZKIYA FATMATUZZAHRO D4KL2023,6 bulan lalu,August 2024
"Salah satu wisata alam sumber air yg berada di kab Malang tepatnya daerah putuk rejo,,HTM murah, tempat sejuk, toilet ada, makanan sangat ramah di kantong",Anton Hermansyah,6 bulan lalu,August 2024
"tempat loket cuma 1 itu pun penuh
toilet antri",Emilia agustin Ramadhani,6 bulan lalu,August 2024
Senang,Muhammad Faris,6 bulan lalu,August 2024
"wisata murmer dan worthit banget buat renang bareng teman pacar suami dan keluarga apalagi sama anak krn ada kolam renang khusus anak2 dan naik kereta2 di atas sawahh makin banyakk spot foto2 , yg ksini berdua aja jangan khawatir ada tempat …",INA,6 bulan lalu,August 2024
"Tempat lumayan bagus,fasilitas lumayan lengkap ada,akses mudah dijangkau tiket masuk 5rb parkir mobil 10rb.",Agus Tina,6 bulan lalu,August 2024
"Tempat nya Sejuk,bersih banyak wahana yang bisa di nikmati dengan harga terjangkau,,",Archie Putri,6 bulan lalu,August 2024
Naik kereta tiketnya murah banget.perlu tambahan kolam renang,Gojek Wito,6 bulan lalu,August 2024
"Seru bagus mkanan murah , sdkit ctatan kmar mandi hrs ditambah lg n tmpt wudhu di msholla kran nya cumn 1😁 …",Robin Wong,6 bulan lalu,August 2024
"Tempat bagus, jalan enak.., kamar mandi dan ganti seharusnya sudah masuk fasilitas ternyata harus bayar lagi",WARSONO,6 bulan lalu,August 2024
Petugas nya. Gak ramah,Rudi Anto,6 bulan lalu,August 2024
Lak runu bar Subuh dijamin wapik rek,Diki Lijam,6 bulan lalu,August 2024
"Banyak jalan menuju ketempat ini,jalan kampung tapi mobil bisa laju.
Kalo maen bareng keluarga bawa bontotan dah yg jual makan gak ada, klo cemilan byk,harga masih standar👌 …",icn ae,6 bulan lalu,August 2024
Enak buat renang,Anas Binmalik,6 bulan lalu,August 2024
"Airnya jernih, segar, bila keaadaan ramai, kamar mandi kemungkinan besar antri",Evil of Alfa,7 bulan lalu,July 2024
Fasitas permainan ok dg pengunjuk yg super ful kamar mandi sangat amat kurang memadai,Siti Matsulah,7 bulan lalu,July 2024
"Udara segar, banyak wahana buat anak2 makanana murah² dan bervariasi",irela putri,7 bulan lalu,July 2024
Seruuu,lovelymamas 99,7 bulan lalu,July 2024
"Bawa kereta wisata tetap bayar parkir, (sopir)seharusnya gratis dan malah di beri uang rokok dan masuk gratis, ini gak malah bayar semuanya ,, kan kita ya memperramai wisata sumber Sirah nya kan gitu kan juga bawa penumpang banyak",Pengurus Darul Ulum,7 bulan lalu,July 2024
"Tempatnya nyaman untuk rekreasi keluarga. Ada kolam renang untuk balita, anak, dewasa. Bisa snorkling ala ala juga. Ada banyak wahana seperti flying fox, kereta sawah dan bebek air. Tiket masuk 5rb, parkir mobil 10rb, wahana kisaran 10rb-20rb. Wort it!",Nuha Majid,7 bulan lalu,July 2024
enak sejuk nyaman,Azzahra Mutiara,7 bulan lalu,July 2024
Lumayan bagus seh..cuma kok kalo pas mau ganti baju di kamar ganti bayar lagi ya,Syaifullah,7 bulan lalu,July 2024
Bagus cuman fasilitas toilet kurang antri lama banget😅😅😔 …,novietarika Wulandari,7 bulan lalu,July 2024
"Lokasi bagus, luas, dan banyak wahana. Harga terjangkau banget",eko kromengan,7 bulan lalu,July 2024
"Wisata nuansa persawahan tp sejuk dan rindang dg sumber air yg bersih bening tanpa tawas dan kaporit,sangat cocok buat kelg",helmi yunansah,7 bulan lalu,July 2024
seru,李仁仁,7 bulan lalu,July 2024
Pemandian sumber yang luas👍🏻 …,13_JTD3D_Haidar Rafid Ramadhan,7 bulan lalu,July 2024
"Fasilitas dan pelayanan mungkin perlu ditingkatkan dan ditambah lagi,keamanan tempat parkir dan lahan perlu dibenahi atau dii paving
Semoga tempat wisata ini lebih berkembang lagi",aryo de jun,7 bulan lalu,July 2024
🤩 …,nur cholis,7 bulan lalu,July 2024
"Padahal banyak “bayar”nya, tapi tempat wisatanya tidak terawat.
- area gazebo banyak sampah meski ada tempat sampah
- area toilet kotor & bahkan airnya mampet pol !! seperti tidak pernah …",Hana Bernike,7 bulan lalu,July 2024
"Murah, tapi tidak dikelola dengan baik jd terkesan kumuh dan kotor. Kamar mandi cuma sedikit dan ya itu td kotor. Jauh dr ekspektasi. Satu2nya yg bikin anak saya happy cuma kereta sawahnya. Semoga ada tindak lanjut dan segera diperbaiki",ariyanifajar apriliana,7 bulan lalu,July 2024
"Pengalaman yg luar biasa.
Ternyata ada tempat seAmazing ini di kabupaten Malang.
Bisa snorkling gais di Malang 😃 …",Nanik mus,7 bulan lalu,July 2024
Adem sejuk cuman kurang luas kr pengunjungnya terlalu byk jd kurang nyaman ..🥰 …,SUKANTI NEBI DIANTI,7 bulan lalu,July 2024
"Bagus, bersih dan sejuk",Yoga Nur Fahrudin,7 bulan lalu,July 2024
Seger,DMS Project12,7 bulan lalu,July 2024
Mantul,FERLY ANGKOT MALANG,7 bulan lalu,July 2024
"Wcnya jadi 1 berpusat, mushola kecil dan tempat wudhu tidak ada penutup buat perempuan",Ridwan Rosadi,7 bulan lalu,July 2024
Oke,Kemas Mendi,8 bulan lalu,June 2024
Ramai sekarang...,Ind Jack,8 bulan lalu,June 2024
"Tempatnya masih alami banget dan airnya juga the real air sumber asli, asik lah pokoknya disana hawanya sejuk",Annisa Hayatul,8 bulan lalu,June 2024
"Lumayan, cuma kalau pas hari minggu kamar mandinya antrinya luama banget sampek mau ngompol rasanya nahan kencing, tapi ya lumayan lainnya",Revin Jr,8 bulan lalu,June 2024
Suasana masih asri,Arief Setya,8 bulan lalu,June 2024
Kolam renang alami,Nungky Ae,8 bulan lalu,June 2024
"kamar mandi banyak, kolam cukup luas, tiket masuk 10rb",Agung Triwicaksono Putra,8 bulan lalu,June 2024
"tiket murah warung makan murah, rokok murah. recomended",Bayu Aryzona,8 bulan lalu,June 2024
"Airnya untuk dialirkan kotor kecuali dikolam renangnya bersih, untuk permainan ATV masih tanah murni klo kena air becak perlu perbaikan dan perawatan, untuk kamar mandi hanya ganti baju bayar 2000, mandi 2000, kencong 2000 selalu berbayar",Sugi Yono,8 bulan lalu,June 2024
Mantapp,28 Aldi,8 bulan lalu,June 2024
Tempat rekreasi yang sangat seruuu dan cocok buat anak²...tiket masuk dan wahana yg sangat cocok dikantong...pokoknya mantapppp,Deny Kristiawan,8 bulan lalu,June 2024
"Kolam yg asli bening banget seger yg anak² udah full, kereta juga antri poll to seru² ngeri wkwkwk tiket masuk 5rb, parkir spd 3rb naik kereta 10rb bebek 20rb kamar mandi mulai dari 2rb, pop mi mulai dr 5rb, biasannya kalau d tempat lain …",Afida Hasanah,8 bulan lalu,June 2024
"Pemandian alam paling estetik, karena masih sangat alami, airnya segar jernih, ada tumbuhan air didalamnya, menjadi rumah ikan, banyak ikannya, ada wahana2 lain seperti ATV, kapal pancal, kereta sawah, kuliner, kolam anak 👍 …",fory arya,8 bulan lalu,June 2024
Makanan enak pelayanan baik suasana enak,Sakhar anas,8 bulan lalu,June 2024
"Seru , murah dan segar airnya jernih",Leli Leli,8 bulan lalu,June 2024
tempatnya enak bangetttt ☆,apiya,8 bulan lalu,June 2024
Overall bagus sihhh tapi untuk kamar mandi(WC) tolong ditambah lagi&karcis jangan terlalu mahal masak anak kecil umur 4tahun dikenakan biaya juga kecuali umur 6-7 tahun,Ryo Urushibara92,8 bulan lalu,June 2024
Tempat refreshing dan mandi air sumber . Ada wahana kereta sawah . Bebek engkol . ATV heheheh,Automatic Pick,8 bulan lalu,June 2024
Kurang asri but overall my customer happy,Teman Tanam,8 bulan lalu,June 2024
"Tambah bagus...akses mudah, harga jajanan juga ga trllu mahal...cuma air kolamnya kotor kena sampah dr pohon dsamping kolam",Putri Dewy,8 bulan lalu,June 2024
"Seger Asri, kesana harus bawa tikar yak, soalnya sedikit tempat duduknya, kalo nggk bawa bisa beli di area sekitar",hanif zulkifli,8 bulan lalu,June 2024
"Liburan murah meriah tak jauh dari malang kota.
Tidak terlalu ramai cocok buat healing, air jernih, udara sejuk, tempat bersih.
Tempat beristirahat tersedia gratis,Toilet & mushola bersih. …",Bunda Alshanum,8 bulan lalu,June 2024
"Wisata alam yang indah
HTM 5000 parkir 3000 tiket kereta 10.000",Saiful Islam,8 bulan lalu,June 2024
Parkir luas kolam renang berbagai ukuran untuk balita juga ada .,Subagyo Ae,8 bulan lalu,June 2024
"kesini tanggal 11 mei 2024, akses jalan ke tempat ini mudah bisa naik motor atau mobil, kebetulan saya naik motor dengan tiket parkir 3 ribu, parkiran luas. Masuk dengan karcis 5rb per orang, untuk menuju kawasan jalan kaki sebentar. …",Anita Widyastuti,8 bulan lalu,June 2024
"Cakep banget, airnya jernih tapi sayang banget mulai banyak sampah plastiknyaaa",Otto Iskandar Kurniawan Putra,8 bulan lalu,June 2024
"Tiket emang murah 5000/org...kereta 10.000 bebek 15.000
tapi sayang pengolahannya dibiarkan begitu saja...tdk terawat..banyak sampah.banyak rumput liar..kotor pokoknya... …",Shanty Dhyzayra,8 bulan lalu,June 2024
Berapa harga tiket masuknya?,Rokayah Mom,8 bulan lalu,June 2024
"Tiket masuk murah meriah,  tempat masih asri, bersih..",KHULAFAUR ROSYIDIN,9 bulan lalu,May 2024
Jomblo lor,pak blu,9 bulan lalu,May 2024
"Sumber mata air yang sangat jernih cukup recommended buat wisata air,ada juga wahana kereta sawah,perahu bebek
Cukup memuaskan dengan harga tiket 5000",Samsul Arifin,9 bulan lalu,May 2024
Seger,Cak Muiz,9 bulan lalu,May 2024
Bagus,Dian Laili Novitasari,9 bulan lalu,May 2024
Pelayanan yang ramah,Tul Lus,9 bulan lalu,May 2024
Rameeeeeeee guyss,rofiq rama,9 bulan lalu,May 2024
"Saya sangat bersenang-senang di sini. Tempat yang menakjubkan. Itu adalah danau yang dangkal, dengan air yang jernih dan dingin. …",cloudida reisman,9 bulan lalu,May 2024
Tempat rekreasi murah meriah.. Suasana asli pedesaan...,Mokry Tyov,9 bulan lalu,May 2024
Tambah bnyak arena bermainnya dan sngat ramai wktu lbur lebran....,Lucky Merianto,9 bulan lalu,May 2024
"Parkir mobil 10.000, parkiran nya luasss. Tiket masuk 5.000/orang. Jalan menuju sumbernya turun tapi gak terlalu jauh, dan jalannya aman gak licin. Ada kolam renang anak, dangkal. Aman buat anak2. Untuk sumbernya bagi saya yang pendek, …",Habibah Ana,9 bulan lalu,May 2024
"Sumber air bersih, jernih dan melimpah, suasananya sejuk dan indah. Cocok untuk tujuan wisata di akhir pekan bersama keluarga. Menghadirkan nuansa alami nan asri. Mantap deh pokoknya 👍 …",Yangki Novawan,9 bulan lalu,May 2024
Rekreasi di daerah cukup lumayan.. murah meriah.. tiket cuman 5 ribu... tidak d sarankan datang pas musim hujan...,Hendrik Ciren,9 bulan lalu,May 2024
"Ramai sekalai sampai gk ada tempat buat duduk,jadi banyak yg bwa tikar sendiri jadinya,mungkin gazebo2 dan tempat berteduh perlu ditambah lagi sama satu lg yg paling penting dikasih spot foto dong yg bagus agar tidak yg berenang saja yg bisa foto tapi yg ibu2nya jg bisa berfoto2 juga",Adi Agger,9 bulan lalu,May 2024
"Destinasi wisata desa, tiket cuma 5 rb/orang,parkir mobil 10 rb, ada sewa ban, ada, kantin makan, ada mushola, kl kesini usahakan dtng pagi biar TDK terlalu rame, atau hindari hari libur/tanggal merah, tempat asri, kebersihan mungkin bisa ditingkatkan lagi",Achmad Sudianto,9 bulan lalu,May 2024
Rekreasi konsep alam,hayu maisyithoh,9 bulan lalu,May 2024
"Bagus! Review lebih lengkap di youtube hehe
https://youtu.be/i1dte2U0BT4?si=kDh2b2vCLEtu7tda",Amira Rachmatillah,9 bulan lalu,May 2024
Masih terjaga keaslian alamnya seperti dulu,Mario Yordanus Laisina,9 bulan lalu,May 2024
Nyaman dan sejuk dan air nya jernih,Mohammad Riski,10 bulan lalu,April 2024
"tempatnya enak sejuk, masuknya murah.",Syafiq Rizall,10 bulan lalu,April 2024
"kesini ke 3x nya (2024) perawatan fasilitas dan kebersihannya makin bagus, jalan ke lokasi juga gak sulit lagi.
Ada bea parkir (🏍️3k, 🚙10k) dan tiket masuk (3k) sendiri-sendiri. …",Akmal,10 bulan lalu,April 2024
"tulisannya tutup jam 5 tapi baru jam 3 sore toilet udah dikunci dan gaada toilet lain, untung ada bapak2 baik yg nawarin buat bukain toiletnya",Laili Riska,10 bulan lalu,April 2024
"Tempatnya bagus. Banyak ikan. Cocok untuk rekreasi. Hari kerja tiket cuma 8 ribu.  Ada wahana lain seperti kereta sawak 10 ribu, dan perahu bebek 20 ribu. Dateng pas hari kerja serasa kolam punya pribadi.",Oscar Tegar Prasasti,10 bulan lalu,April 2024
"Tempat nya lumayan bagus,dan sejuk",Abbdul Mu'minh,10 bulan lalu,April 2024
"Tiket masuknya standart lah..🤭😅
Semoga fasilitas dan wahananya semakin  baik ❤️ …",Reyz,10 bulan lalu,April 2024
"Tempat ini ramah anak dan nyaman untuk piknik keluarga. Seat ini sudah banyak sekali wahananya dari pada beberapa tahun sebelumnya. Dikelola oleh Bumdes, biaya masuk sini juga sangat terjangkau tidak terlalu mahal. …",Fajriyan Hardiana,10 bulan lalu,April 2024
"Airnya jernih sekali, suasananya asri",Anggun Faras Mytha,10 bulan lalu,April 2024
Bersih,Yoga Novan,10 bulan lalu,April 2024
"Tempatnya sejuk dan asri, walaupun agak jauh dari jalan utama.",Fauzan Ramadhan,10 bulan lalu,April 2024
"tempat yang masih asri sekali, dengan sumber air yang bersih, tempat seperti ini perlu terus di lestarikan dengan cara tidak menebang pohon yang ada di sekitarnya, dan menjaga penghijauan daerah sekitar, serta kebersihan harus selalu terjaga",muhammad rosyidin,10 bulan lalu,April 2024
"Pelayanan sangat ramah, harga murah dan barang sangat terjamin dan selalu terbaik, sangat suka berbelanja disini",Rizki Ayu,11 bulan lalu,March 2024
"Wisata yang masih terjaga kelestariannya, untuk harga tiket masuk 5k per orang dan parkir 3k untuk kendaraan roda dua, perjalanan tidak terlalu jauh hanya 30menit dari tengah kota.. tersedia kolam renang untuk anak2 ada juga wahana flying …",Muhammad Muhsin,11 bulan lalu,March 2024
Lingkungan yg asri dengan harga tiket murah meriah,Khoirul Abidin,11 bulan lalu,March 2024
"Tiket murah meriah.
Cocok untuk berlibur sekeluarga",Bambang Irawan,11 bulan lalu,March 2024
Destinasi Wisata yang Murah Meriah dengan Kolam Renang yang Alami karena dari Sumber Mata Air langsung,Muhammad Syaifuddin,11 bulan lalu,March 2024
"Airnya bening & segar
Terlihat air yg keluar dari sumbernya",Ichwana Sugeng,11 bulan lalu,March 2024
Tempat beli telur fresh,Farih Nur Chozim,11 bulan lalu,March 2024
Seger buat renang,Darul In'am,11 bulan lalu,March 2024
