wiI7pd,ulasan_clean,ulasan_normalisasi,ulasan_tokenizing,ulasan_stopwords,ulasan_stemming,ulasan_translate
"Masih asri banget tempatnya. Cuma kurang bersih ajaa kolam yang banyak tanamannya, semoga kebersihan tempat lebih ditingkatkan ya. Apalagi kamar mandinya. Untuk petugas ramah pwoll apalagi yang dibagian keretaa baik banget masnya nawarin ngefoto sama divideoin jgaa. jadi punya kenangan sama keluarga❤️",masih asri banget tempatnya cuma kurang bersih ajaa kolam yang banyak tanamannya semoga kebersihan tempat lebih ditingkatkan ya apalagi kamar mandinya untuk petugas ramah pwoll apalagi yang dibagian keretaa baik banget masnya nawarin ngefoto sama divideoin jgaa jadi punya kenangan sama keluarga,masih asri sangat tempatnya cuma kurang bersih saja kolam yang banyak tanamannya semoga kebersihan tempat lebih ditingkatkan apalagi kamar mandinya untuk petugas ramah sangat apalagi yang dibagian kereta baik sangat masnya nawarin ngefoto sama divideoin juga jadi punya kenangan sama keluarga,"['masih', 'asri', 'sangat', 'tempatnya', 'cuma', 'kurang', 'bersih', 'saja', 'kolam', 'yang', 'banyak', 'tanamannya', 'semoga', 'kebersihan', 'tempat', 'lebih', 'ditingkatkan', 'apalagi', 'kamar', 'mandinya', 'untuk', 'petugas', 'ramah', 'sangat', 'apalagi', 'yang', 'dibagian', 'kereta', 'baik', 'sangat', 'masnya', 'nawarin', 'ngefoto', 'sama', 'divideoin', 'juga', 'jadi', 'punya', 'kenangan', 'sama', 'keluarga']","['asri', 'tempatnya', 'bersih', 'kolam', 'tanamannya', 'semoga', 'kebersihan', 'ditingkatkan', 'kamar', 'mandinya', 'petugas', 'ramah', 'dibagian', 'kereta', 'masnya', 'nawarin', 'ngefoto', 'divideoin', 'kenangan', 'keluarga']",asri tempat bersih kolam tanam moga bersih tingkat kamar mandi tugas ramah bagi kereta mas nawarin ngefoto divideoin kenang keluarga,"still very beautiful place is only less clean, a lot of ponds have a lot of plants, hopefully the cleanliness of the place is more improved especially the bathroom for the friendly officers, especially those on the train section, the good, the mas, offered a photo"
bagus,bagus,bagus,['bagus'],['bagus'],bagus,Good
"masih butuh dikembangkan..,",masih butuh dikembangkan,masih butuh dikembangkan,"['masih', 'butuh', 'dikembangkan']","['butuh', 'dikembangkan']",butuh kembang,still need to be developed
"Tempat yang nyaman untuk wisata keluarga , sumber air sangat jernih",tempat yang nyaman untuk wisata keluarga sumber air sangat jernih,tempat yang nyaman untuk wisata keluarga sumber air sangat jernih,"['tempat', 'yang', 'nyaman', 'untuk', 'wisata', 'keluarga', 'sumber', 'air', 'sangat', 'jernih']","['nyaman', 'wisata', 'keluarga', 'sumber', 'air', 'jernih']",nyaman wisata keluarga sumber air jernih,a comfortable place for family tourism water source is very clear
Adem tp gak dingin banget.,adem tp gak dingin banget,dingin tapi tidak dingin sangat,"['dingin', 'tapi', 'tidak', 'dingin', 'sangat']","['dingin', 'dingin']",dingin dingin,cold but not very cold
"Wisata alam murah meriah
Jalan masuk dari parkiran agak jauh, jalannya turun banget menuju area sumber, pas baliknya capek naik 😄 …",wisata alam murah meriah jalan masuk dari parkiran agak jauh jalannya turun banget menuju area sumber pas baliknya capek naik,wisata alam murah meriah jalan masuk dari parkiran agak jauh jalannya turun sangat menuju area sumber saat baliknya capek naik,"['wisata', 'alam', 'murah', 'meriah', 'jalan', 'masuk', 'dari', 'parkiran', 'agak', 'jauh', 'jalannya', 'turun', 'sangat', 'menuju', 'area', 'sumber', 'saat', 'baliknya', 'capek', 'naik']","['wisata', 'alam', 'murah', 'meriah', 'jalan', 'masuk', 'parkiran', 'jalannya', 'turun', 'area', 'sumber', 'baliknya', 'capek']",wisata alam murah riah jalan masuk parkir jalan turun area sumber balik capek,Cheap Nature Tourism The entrance to the parking lot from the parking lot is a bit far down to the source area when it is tired
Seru sih...tapi tlng untuk toilet nya di tambahin....🙏🙏🙏 Kita kurang nyaman di toiletnya....antri luama...kasihan anak kecil...jg org tua 🙏 …,seru sihtapi tlng untuk toilet nya di tambahin kita kurang nyaman di toiletnyaantri luamakasihan anak keciljg org tua,seru tapi tolong untuk toilet tambahin kita kurang nyaman toiletnya antri lama kasihan anak kecil juga orang tua,"['seru', 'tapi', 'tolong', 'untuk', 'toilet', 'tambahin', 'kita', 'kurang', 'nyaman', 'toiletnya', 'antri', 'lama', 'kasihan', 'anak', 'kecil', 'juga', 'orang', 'tua']","['seru', 'tolong', 'toilet', 'tambahin', 'nyaman', 'toiletnya', 'antri', 'kasihan', 'anak', 'orang', 'tua']",seru tolong toilet tambahin nyaman toilet antri kasihan anak orang tua,"exciting but please add to the toilet, add us to be less comfortable the toilet queued for a long time, sorry for the little children and parents"
Salam,salam,salam,['salam'],['salam'],salam,salam
"Bagus untuk melepas lelah, masih terjangkau untuk wahananya",bagus untuk melepas lelah masih terjangkau untuk wahananya,bagus untuk melepas lelah masih terjangkau untuk wahananya,"['bagus', 'untuk', 'melepas', 'lelah', 'masih', 'terjangkau', 'untuk', 'wahananya']","['bagus', 'melepas', 'lelah', 'terjangkau', 'wahananya']",bagus lepas lelah jangkau wahana,good for uninfection still affordable for the ride
Tempat nyaman kalo sepi hehe,tempat nyaman kalo sepi hehe,tempat nyaman kalau sepi,"['tempat', 'nyaman', 'kalau', 'sepi']","['nyaman', 'sepi']",nyaman sepi,a comfortable place if it's quiet
"Anak2 senang bermain disini, semoga pengelolaannya kedepannya menjadi lebih baik sehingga terlihat lebih bersih, wisata murah meriah ada permainan kereta sawah, flying fox dan atv",anak senang bermain disini semoga pengelolaannya kedepannya menjadi lebih baik sehingga terlihat lebih bersih wisata murah meriah ada permainan kereta sawah flying fox dan atv,anak senang bermain disini semoga pengelolaannya kedepannya menjadi lebih baik sehingga terlihat lebih bersih wisata murah meriah ada permainan kereta sawah flying fox dan atv,"['anak', 'senang', 'bermain', 'disini', 'semoga', 'pengelolaannya', 'kedepannya', 'menjadi', 'lebih', 'baik', 'sehingga', 'terlihat', 'lebih', 'bersih', 'wisata', 'murah', 'meriah', 'ada', 'permainan', 'kereta', 'sawah', 'flying', 'fox', 'dan', 'atv']","['anak', 'senang', 'bermain', 'semoga', 'pengelolaannya', 'kedepannya', 'bersih', 'wisata', 'murah', 'meriah', 'permainan', 'kereta', 'sawah', 'flying', 'fox', 'atv']",anak senang main moga kelola depan bersih wisata murah riah main kereta sawah flying fox atv,"The child likes to play here, hopefully the management will be better in the future so it looks more clean cheap tourism, there is a game of Flying Fox and ATV Sawah Train games"
Seruuuu... Enak kalo datang pagi belum terlalu ramai. Seger banget dan murcee... Muraahhh bingit,seruuuu enak kalo datang pagi belum terlalu ramai seger banget dan murcee muraahhh bingit,seru enak kalau datang pagi belum terlalu ramai segar sangat dan murah ceria murah sangat,"['seru', 'enak', 'kalau', 'datang', 'pagi', 'belum', 'terlalu', 'ramai', 'segar', 'sangat', 'dan', 'murah', 'ceria', 'murah', 'sangat']","['seru', 'enak', 'pagi', 'ramai', 'segar', 'murah', 'ceria', 'murah']",seru enak pagi ramai segar murah ceria murah,exciting good if you come in the morning not too crowded very fresh and cheap cheap
"Tempatnya Baguuuss... Cocok Buat Yg Mau Berendam .... Toiletnya n Kamar Mandi nya Okee ... Tiket Masuknya Murah Hanya 5rb ... Ada 14 Warung Yang bisa Buat Kopi, Mie Rebus, Soto Dll .... Rrreeekkooommeeennnnddeeeddd",tempatnya baguuuss cocok buat yg mau berendam toiletnya kamar mandi nya okee tiket masuknya murah hanya rb ada warung yang bisa buat kopi mie rebus soto dll rrreeekkooommeeennnnddeeeddd,tempatnya bagus cocok untuk yang mau berendam toiletnya kamar mandi oke tiket masuknya murah hanya ribu ada warung yang bisa untuk kopi mie rebus soto dan lain lain rekomendasi,"['tempatnya', 'bagus', 'cocok', 'untuk', 'yang', 'mau', 'berendam', 'toiletnya', 'kamar', 'mandi', 'oke', 'tiket', 'masuknya', 'murah', 'hanya', 'ribu', 'ada', 'warung', 'yang', 'bisa', 'untuk', 'kopi', 'mie', 'rebus', 'soto', 'dan', 'lain', 'lain', 'rekomendasi']","['tempatnya', 'bagus', 'cocok', 'berendam', 'toiletnya', 'kamar', 'mandi', 'oke', 'tiket', 'masuknya', 'murah', 'ribu', 'warung', 'kopi', 'mie', 'rebus', 'soto', 'rekomendasi']",tempat bagus cocok rendam toilet kamar mandi oke tiket masuk murah ribu warung kopi mie rebus soto rekomendasi,"The place is good suitable for those who want to soak the toilet the bathroom is okay, the entry ticket is cheap, there are only thousands of stalls that can be used for soto boiled noodle coffee and other recommendations"
makan mie kudanan,makan mie kudanan,makan mie kehujanan,"['makan', 'mie', 'kehujanan']","['makan', 'mie', 'kehujanan']",makan mie hujan,Eat rained noodles
tempat bagus dan nyaman,tempat bagus dan nyaman,tempat bagus dan nyaman,"['tempat', 'bagus', 'dan', 'nyaman']","['bagus', 'nyaman']",bagus nyaman,good and comfortable place
Airnya sejuk dan menyegarkan....👍👍🙏 …,airnya sejuk dan menyegarkan,airnya sejuk dan menyegarkan,"['airnya', 'sejuk', 'dan', 'menyegarkan']","['airnya', 'sejuk', 'menyegarkan']",air sejuk segar,the water is cool and refreshing
"Asik, asyik buat nongkrong. Direkomendasikan kalau cuaca sedang panas dan matahari sedang menyegarkan untuk mandi, tak kalah menariknya naik kereta dengan bebek yang sejuk juga menyenangkan.",asik asyik buat nongkrong direkomendasikan kalau cuaca sedang panas dan matahari sedang menyegarkan untuk mandi tak kalah menariknya naik kereta dengan bebek yang sejuk juga menyenangkan,seru seru untuk nongkrong direkomendasikan kalau cuaca sedang panas dan matahari sedang menyegarkan untuk mandi tidak kalah menariknya naik kereta dengan bebek yang sejuk juga menyenangkan,"['seru', 'seru', 'untuk', 'nongkrong', 'direkomendasikan', 'kalau', 'cuaca', 'sedang', 'panas', 'dan', 'matahari', 'sedang', 'menyegarkan', 'untuk', 'mandi', 'tidak', 'kalah', 'menariknya', 'naik', 'kereta', 'dengan', 'bebek', 'yang', 'sejuk', 'juga', 'menyenangkan']","['seru', 'seru', 'nongkrong', 'direkomendasikan', 'cuaca', 'panas', 'matahari', 'menyegarkan', 'mandi', 'kalah', 'menariknya', 'kereta', 'bebek', 'sejuk', 'menyenangkan']",seru seru nongkrong rekomendasi cuaca panas matahari segar mandi kalah tarik kereta bebek sejuk senang,Exciting exciting to hang out is recommended that the weather is hot and the sun is refreshing for bathing is no less interesting to ride a train with a cool duck is also fun
"Destinasi wisata murah meriah...
1. Parkir Mobil 10.000 sepeda motor 3.000
2. Ticket 5.000 …",destinasi wisata murah meriah parkir mobil sepeda motor ticket,destinasi wisata murah meriah parkir mobil sepeda motor ticket,"['destinasi', 'wisata', 'murah', 'meriah', 'parkir', 'mobil', 'sepeda', 'motor', 'ticket']","['destinasi', 'wisata', 'murah', 'meriah', 'parkir', 'mobil', 'sepeda', 'motor', 'ticket']",destinasi wisata murah riah parkir mobil sepeda motor ticket,cheap tourist destination for a festive parking motorbike ticket ticket
"Setelah dipegang sendiri oleh Desa Putukrejo dan memajukan wisatanya, dari info yang saya dapat dan cek sendiri tempatnya banyak wahana baru selain ban² an, ada juga kereta melayang yg ada relnya, selain itu ada perahu gowes berupa bebek …",setelah dipegang sendiri oleh desa putukrejo dan memajukan wisatanya dari info yang saya dapat dan cek sendiri tempatnya banyak wahana baru selain ban an ada juga kereta melayang yg ada relnya selain itu ada perahu gowes berupa bebek,setelah dipegang sendiri oleh desa putukrejo dan memajukan wisatanya dari info yang saya dapat dan cek sendiri tempatnya banyak wahana baru selain ban ada juga kereta melayang yang ada relnya selain itu ada perahu bersepeda berupa bebek,"['setelah', 'dipegang', 'sendiri', 'oleh', 'desa', 'putukrejo', 'dan', 'memajukan', 'wisatanya', 'dari', 'info', 'yang', 'saya', 'dapat', 'dan', 'cek', 'sendiri', 'tempatnya', 'banyak', 'wahana', 'baru', 'selain', 'ban', 'ada', 'juga', 'kereta', 'melayang', 'yang', 'ada', 'relnya', 'selain', 'itu', 'ada', 'perahu', 'bersepeda', 'berupa', 'bebek']","['dipegang', 'desa', 'putukrejo', 'memajukan', 'wisatanya', 'info', 'cek', 'tempatnya', 'wahana', 'ban', 'kereta', 'melayang', 'relnya', 'perahu', 'bersepeda', 'bebek']",pegang desa putukrejo maju wisata info cek tempat wahana ban kereta layang rel perahu sepeda bebek,"After being held by Putukrejo Village and advanced the tour from the info I got and checked my own place, there were many new rides besides tires, there were also floating trains in addition to that there were cycling boats in the form of ducks"
Asri,asri,asri,['asri'],['asri'],asri,Asri
"Bagus sekali, airnya jernih kelihatan cantik",bagus sekali airnya jernih kelihatan cantik,bagus sekali airnya jernih kelihatan cantik,"['bagus', 'sekali', 'airnya', 'jernih', 'kelihatan', 'cantik']","['bagus', 'airnya', 'jernih', 'cantik']",bagus air jernih cantik,nice so the water is clear look pretty
Sangat memuaskan,sangat memuaskan,sangat memuaskan,"['sangat', 'memuaskan']",['memuaskan'],muas,very satisfactory
"Kebersihan masih kurang, sampah berserakan dimana2, terutama di dlm air, kurang nya penyediaan tempat sampah",kebersihan masih kurang sampah berserakan dimana terutama di dlm air kurang nya penyediaan tempat sampah,kebersihan masih kurang sampah berserakan dimana terutama dalam air kurang penyediaan tempat sampah,"['kebersihan', 'masih', 'kurang', 'sampah', 'berserakan', 'dimana', 'terutama', 'dalam', 'air', 'kurang', 'penyediaan', 'tempat', 'sampah']","['kebersihan', 'sampah', 'berserakan', 'dimana', 'air', 'penyediaan', 'sampah']",bersih sampah sera mana air sedia sampah,cleanliness is still lacking garbage scattered where especially in water lack of provision of trash bins
"Tempat rekreasi yang merakyat, selain harga tiket yang terjangkau harga makanan juga terjangkau,petugas nya juga fast respon",tempat rekreasi yang merakyat selain harga tiket yang terjangkau harga makanan juga terjangkaupetugas nya juga fast respon,tempat rekreasi yang merakyat selain harga tiket yang terjangkau harga makanan juga terjangkau petugas juga fast respon,"['tempat', 'rekreasi', 'yang', 'merakyat', 'selain', 'harga', 'tiket', 'yang', 'terjangkau', 'harga', 'makanan', 'juga', 'terjangkau', 'petugas', 'juga', 'fast', 'respon']","['rekreasi', 'merakyat', 'harga', 'tiket', 'terjangkau', 'harga', 'makanan', 'terjangkau', 'petugas', 'fast', 'respon']",rekreasi rakyat harga tiket jangkau harga makan jangkau tugas fast respon,Popular recreation places in addition to the affordable ticket prices for food prices are also affordable officers and fast responses
Mantap dah bagus,mantap dah bagus,mantap bagus,"['mantap', 'bagus']","['mantap', 'bagus']",mantap bagus,good good
Pas akhir pekan rame,pas akhir pekan rame,saat akhir pekan ramai,"['saat', 'akhir', 'pekan', 'ramai']","['pekan', 'ramai']",pekan ramai,on the weekend crowded
"sangat ramah, murah rekomendasi",sangat ramah murah rekomendasi,sangat ramah murah rekomendasi,"['sangat', 'ramah', 'murah', 'rekomendasi']","['ramah', 'murah', 'rekomendasi']",ramah murah rekomendasi,very friendly cheap recommendations
Jelek bgt gaada tempat duduk gabisa duduk dimana2,jelek bgt gaada tempat duduk gabisa duduk dimana,jelek sangat tidak ada tempat duduk tidak bisa duduk dimana,"['jelek', 'sangat', 'tidak', 'ada', 'tempat', 'duduk', 'tidak', 'bisa', 'duduk', 'dimana']","['jelek', 'duduk', 'duduk', 'dimana']",jelek duduk duduk mana,ugly there is no seat that can't sit where
"Bagus, sejuk dan nyaman untuk keluarga....",bagus sejuk dan nyaman untuk keluarga,bagus sejuk dan nyaman untuk keluarga,"['bagus', 'sejuk', 'dan', 'nyaman', 'untuk', 'keluarga']","['bagus', 'sejuk', 'nyaman', 'keluarga']",bagus sejuk nyaman keluarga,good cool and comfortable for family
"Tempat cukup nyaman, bisa berenang , ada gazebu untuk istirahat tapi bergantian dengan pengunjung lain",tempat cukup nyaman bisa berenang ada gazebu untuk istirahat tapi bergantian dengan pengunjung lain,tempat cukup nyaman bisa berenang ada gazebo untuk istirahat tapi bergantian dengan pengunjung lain,"['tempat', 'cukup', 'nyaman', 'bisa', 'berenang', 'ada', 'gazebo', 'untuk', 'istirahat', 'tapi', 'bergantian', 'dengan', 'pengunjung', 'lain']","['nyaman', 'berenang', 'gazebo', 'istirahat', 'bergantian', 'pengunjung']",nyaman renang gazebo istirahat ganti unjung,a pretty comfortable place to swim there is a gazebo to rest but alternately with other visitors
oke sip yes 👍 …,oke sip yes,oke yes,"['oke', 'yes']","['oke', 'yes']",oke yes,Oka EU
"Seru, sayang pas kesitu kurang prepare buat renang, jadi ya... cuma jalan jalan saja...",seru sayang pas kesitu kurang prepare buat renang jadi ya cuma jalan jalan saja,seru sayang saat kesitu kurang prepare untuk renang jadi cuma jalan jalan saja,"['seru', 'sayang', 'saat', 'kesitu', 'kurang', 'prepare', 'untuk', 'renang', 'jadi', 'cuma', 'jalan', 'jalan', 'saja']","['seru', 'sayang', 'kesitu', 'prepare', 'renang', 'jalan', 'jalan']",seru sayang kesitu prepare renang jalan jalan,exclaimed dear when there was less prepared for swimming so only walking
"Kereta sawahnya mantab, tp di kolam renang utamanya ada yang dalam dan sepertinya gak ada team penyelamatnya...",kereta sawahnya mantab tp di kolam renang utamanya ada yang dalam dan sepertinya gak ada team penyelamatnya,kereta sawahnya mantap tapi kolam renang utamanya ada yang dalam dan sepertinya tidak ada team penyelamatnya,"['kereta', 'sawahnya', 'mantap', 'tapi', 'kolam', 'renang', 'utamanya', 'ada', 'yang', 'dalam', 'dan', 'sepertinya', 'tidak', 'ada', 'team', 'penyelamatnya']","['kereta', 'sawahnya', 'mantap', 'kolam', 'renang', 'utamanya', 'team', 'penyelamatnya']",kereta sawah mantap kolam renang utama team selamat,The field is solid but the main swimming pool is deep and seems to have no rescue team
Agak sedikit kotor,agak sedikit kotor,agak sedikit kotor,"['agak', 'sedikit', 'kotor']",['kotor'],kotor,quite a bit dirty
Sumber air alami,sumber air alami,sumber air alami,"['sumber', 'air', 'alami']","['sumber', 'air', 'alami']",sumber air alami,natural water source
Tempatnya bagus dan asri.......rekomendasi untuk wisata keluarga,tempatnya bagus dan asrirekomendasi untuk wisata keluarga,tempatnya bagus dan asri rekomendasi untuk wisata keluarga,"['tempatnya', 'bagus', 'dan', 'asri', 'rekomendasi', 'untuk', 'wisata', 'keluarga']","['tempatnya', 'bagus', 'asri', 'rekomendasi', 'wisata', 'keluarga']",tempat bagus asri rekomendasi wisata keluarga,the place is good and beautiful recommendations for family tourism
"View dan suasana alamnya indah airnya jernih dan segar, tapi sayangnya ingin menikmati suasana alam dengan ketenangan dan gemericik air kok malah ada sound horegnya yg memekakkan telinga dan gak bisa nyaman untuk menikmati suasana alamnya karena sangat berisik",view dan suasana alamnya indah airnya jernih dan segar tapi sayangnya ingin menikmati suasana alam dengan ketenangan dan gemericik air kok malah ada sound horegnya yg memekakkan telinga dan gak bisa nyaman untuk menikmati suasana alamnya karena sangat berisik,view dan suasana alamnya indah airnya jernih dan segar tapi sayangnya ingin menikmati suasana alam dengan ketenangan dan gemercik air malah ada sound yang memekakkan telinga dan tidak bisa nyaman untuk menikmati suasana alamnya karena sangat berisik,"['view', 'dan', 'suasana', 'alamnya', 'indah', 'airnya', 'jernih', 'dan', 'segar', 'tapi', 'sayangnya', 'ingin', 'menikmati', 'suasana', 'alam', 'dengan', 'ketenangan', 'dan', 'gemercik', 'air', 'malah', 'ada', 'sound', 'yang', 'memekakkan', 'telinga', 'dan', 'tidak', 'bisa', 'nyaman', 'untuk', 'menikmati', 'suasana', 'alamnya', 'karena', 'sangat', 'berisik']","['view', 'suasana', 'alamnya', 'indah', 'airnya', 'jernih', 'segar', 'sayangnya', 'menikmati', 'suasana', 'alam', 'ketenangan', 'gemercik', 'air', 'sound', 'memekakkan', 'telinga', 'nyaman', 'menikmati', 'suasana', 'alamnya', 'berisik']",view suasana alam indah air jernih segar sayang nikmat suasana alam tenang gemercik air sound pekak telinga nyaman nikmat suasana alam berisik,"view and natural atmosphere beautiful water is clear and fresh, but unfortunately want to enjoy the natural atmosphere with calm and glimpse of water, instead there is a deafening sound and cannot be comfortable to enjoy the natural atmosphere because it is very noisy"
"jauh"" kesana nggak bisa ngapa"" in karna ada kegiatan didalam tempat wisata",jauh kesana nggak bisa ngapa in karna ada kegiatan didalam tempat wisata,jauh kesana tidak bisa apa karena ada kegiatan didalam tempat wisata,"['jauh', 'kesana', 'tidak', 'bisa', 'apa', 'karena', 'ada', 'kegiatan', 'didalam', 'tempat', 'wisata']","['kesana', 'kegiatan', 'didalam', 'wisata']",kesana giat dalam wisata,far away there can't be because there are activities in tourist attractions
"weekend rame, htm murah, tapi kamar mandinya licin hati-hati yaa",weekend rame htm murah tapi kamar mandinya licin hatihati yaa,weekend ramai harga tiket masuk murah tapi kamar mandinya licin hati hati,"['weekend', 'ramai', 'harga', 'tiket', 'masuk', 'murah', 'tapi', 'kamar', 'mandinya', 'licin', 'hati', 'hati']","['weekend', 'ramai', 'harga', 'tiket', 'masuk', 'murah', 'kamar', 'mandinya', 'licin', 'hati', 'hati']",weekend ramai harga tiket masuk murah kamar mandi licin hati hati,Weekend is a lot of cheap tickets but the bathroom is smooth
"Bagus, murah",bagus murah,bagus murah,"['bagus', 'murah']","['bagus', 'murah']",bagus murah,good cheap
"Tempate bagus, air e bersih, jernih,seger, real sumber alam⭐5🤩 …",tempate bagus air bersih jernihseger real sumber alam,tempat bagus air bersih jernih segar real sumber alam,"['tempat', 'bagus', 'air', 'bersih', 'jernih', 'segar', 'real', 'sumber', 'alam']","['bagus', 'air', 'bersih', 'jernih', 'segar', 'real', 'sumber', 'alam']",bagus air bersih jernih segar real sumber alam,a good place for clear clean water fresh real natural resources
"Ga rugi liburan ke sumber sira sama keluarga....
Hati senang ..isi dompet tenang🥰 …",ga rugi liburan ke sumber sira sama keluarga hati senang isi dompet tenang,tidak rugi liburan sumber sira sama keluarga hati senang isi dompet tenang,"['tidak', 'rugi', 'liburan', 'sumber', 'sira', 'sama', 'keluarga', 'hati', 'senang', 'isi', 'dompet', 'tenang']","['rugi', 'liburan', 'sumber', 'sira', 'keluarga', 'hati', 'senang', 'isi', 'dompet', 'tenang']",rugi libur sumber sira keluarga hati senang isi dompet tenang,no loss of vacation source sira and family heart happy contents of a calm wallet
